PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES
1996-07-03.85,C/1996 N3 SOHO-931,R. Kracht,C2 C3,0.0351, 
1997-04-08.97,C/1997 G7 SOHO-389,R. Kracht,C2,0.0351,7841
1997-04-21.36,C/1997 H4 SOHO-391,R. Kracht,C2 C3,0.0356,7841
1997-04-29.27,C/1997 H5 SOHO-392,R. Kracht,C2,0.0371,7841
1997-06-10.87,C/1997 L2 SOHO-011,S. Stezelberger,C2 C3,0.0381,6684 7832
1997-07-25.48,C/1997 O2 SOHO-464,R. Kracht,C2,0.0356,7931
1997-10-19.98,C/1997 U8 SOHO-468,R. Kracht,C2,0.0310,7931
1997-10-23.18,C/1997 U9 SOHO-471,R. Kracht,C2,0.0402,7931
1997-12-15.55,C/1997 X7 SOHO-1108,R. Kracht,C2,0.0346, 
1998-04-12.04,C/1998 G9 SOHO-1102,R. Kracht,C2,0.0370, 
1998-11-03.41,C/1998 V8 SOHO-437,R. Kracht,C2,0.0363,7916
1998-11-28.25,C/1998 W7 SOHO-439,R. Kracht,C2 C3,0.0362,7916
1999-03-17.38,C/1999 F3 SOHO-424,R. Kracht,C2 C3,0.0363,7898
1999-05-26.65,C/1999 K16 SOHO-399,R. Kracht,C2,0.0339,7842
1999-06-09.45,C/1999 L9 SOHO-401,R. Kracht,C2,0.0380,7842
1999-08-13.16,C/1999 P7 SOHO-412,R. Kracht,C2,0.0372,7863
2000-01-16.86,C/2000 B8 SOHO-405,M. Meyer,C2,0.0340,7853
2000-02-03.86,C/2000 C2 SOHO-100,K. Cernis,C2,0.0370,7364 7832
2000-02-07.89,C/2000 C5 SOHO-103,M. Oates,C2,0.0358,7364 7832
2000-05-06.42,C/2000 J8 SOHO-433,R. Kracht,C2,0.0367,7899
2000-07-04.80,C/2000 N4 SOHO-434,R. Kracht,C2,0.0351,7899
2000-12-03.75,C/2000 X9 SOHO-459,R. Kracht,C2,0.0386,7919
2001-02-11.67,C/2001 C7 SOHO-477,R. Kracht,C2,0.0350,7936
2001-03-15.64,C/2001 E1 SOHO-298,M. Oates,C2,0.0357,7613 7832
2001-05-16.85,C/2001 K11 SOHO-481,R. Kracht,C2,0.0339,7952
2001-06-01.47,C/2001 L10 SOHO-482,M. Oates,C2,0.0355,7952
2001-09-12.80,C/2001 R7 SOHO-489,M. Oates,C2,0.0372,7952
2001-10-09.17,C/2001 T1 SOHO-355,X. Leprette,C2,0.0364,7741 7832
2001-11-02.48,C/2001 V6 SOHO-490,R. Kracht,C2,0.0374,7952
2001-12-12.86,C/2001 X8 SOHO-383,A. Mimeev,C2,0.0371,7797 7832
2001-12-15.55,C/2001 X10 SOHO-491,M. Oates,C2,0.0360,7952
2002-01-01.34,C/2002 A4 SOHO-421,R. Kracht,C2,0.0366,7875
2002-04-20.97,C/2002 H8 SOHO-498,R. Kracht,C2,0.0336,7951
2002-08-12.67,C/2002 P3 SOHO-500,R. Kracht,C2,0.0359,7956
2002-09-15.75,C/2002 R8 SOHO-516,R. Kracht,C2,0.0343,7984
2002-10-04.34,C/2002 T2 SOHO-527,X. Leprette,C2,0.0369,7991
