Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3285,Apr02 2017 23:36:49	, M.Uchina, C2,Kreutz,Apr02 2017
3286,Apr04 2017 12:28:26	, Z.Xu,C3 C2,Kreutz,Apr04-05 2017
3287,Apr04 2017 17:13:56	, M.Uchina, C2,Kreutz,Apr04 2017
3288,Apr06 2017 20:52:29	, W.Boonplod, C2,Kreutz,Apr07 2017
3289,Apr06 2017 20:59:29	, W.Boonplod,C3 C2,Kreutz,Apr07 2017
3290,Apr06 2017 21:03:12	, W.Boonplod,C3 C2,Kreutz,Apr07 2017
3291,Apr06 2017 21:05:43	, W.Boonplod,C3 C2,Kreutz,Apr06-08 2017
3292,Apr10 2017 05:50:17	, M.Uchina, C2,Kreutz,Apr10 2017
3293,Apr11 2017 09:22:20	, W.Boonplod, C2,Kreutz,Apr11 2017
3294,Apr13 2017 08:18:04	, M.Uchina, C2,Kreutz,Apr13 2017
3295,Apr13 2017 22:01:40	, W.Boonplod,C3 C2,Kreutz,Apr14 2017
3296,Apr15 2017 06:34:04	, M.Uchina, C2,Kreutz,Apr15 2017
3297,Apr16 2017 08:07:22	, T.Prestgard,C2,Kreutz,Apr16 2017
3298,Apr16 2017 11:50:44	, Z.Xu, C2,Kreutz,Apr16 2017
3299,Apr18 2017 23:05:03	, W.Boonplod, C3 C2, Kreutz,Apr19-20 2017
3300,Apr19 2017 01:41:00	, W.Boonplod, C3 C2, Kreutz,Apr19 2017
3301,Apr19 2017 17:43:17	, W.Boonplod, C2,Meyer, Apr19 2017
3302,Apr19 2017 18:47:02	, W.Boonplod, C3 C2, Kreutz,Apr19-20 2017
3303,Apr21 2017 14:08:17	, W.Boonplod, C2,Kreutz,Apr21 2017
3304,Apr22 2017 13:58:06	, W.Boonplod, C2,Kreutz,Apr22 2017
3305,Apr22 2017 21:26:20	, W.Boonplod, C3 C2, Kreutz,Apr22-23 2017
3306,Apr24 2017 03:15:32	, W.Boonplod, C3 C2, Kreutz,Apr24 2017
3307,Apr25 2017 16:53:38	, W.Boonplod, C2,Kreutz,Apr25 2017
3308,Apr25 2017 22:30:29	, W.Boonplod, C3 C2, Kreutz,Apr25-26 2017
3309,Apr26 2017 21:36:24	, Z.Xu, C2,Kreutz,Apr16-17 2017
3310,Apr27 2017 20:02:05	, W.Boonplod, C3 C2, Kreutz,Apr27-29 2017
3311,Apr28 2017 17:58:34	, M.Uchina, C2, ?NonGrp?, Apr28 2017
3312,Apr29 2017 20:39:08	, Z.Xu, C2,Kreutz,Apr29-30 2017
3313,Apr30 2017 03:39:12	, S.Liwo, C2,Kreutz,Apr30 2017
3314,Apr30 2017 13:28:53	, W.Boonplod, C2,Kreutz,Apr30 2017
