ID#,   Report Date,       MSG#,  Discoverer(s), CAMS,  Group,  Images of...
0065,  Sep03 2007           ,270,    A.Watson,     H1B,    Kreutz, Aug31-Sep01 2007
0066,  Sep08 2007           ,278,    A.Watson,     H1B,    Kreutz,  Sep09 2007
0067,  Mar03 2017 05:41PM   ,Email,    T.Prestgard,  H1A,    Kreutz,  Feb09 2008
0068,  Jun24 2014 09:42AM   ,Email,    T.Prestgard,  H1A,    Kreutz,  Dec18 2008
STXC,  Jun25 2014 03:52PM   ,Email,    T.Prestgard,  H1A,    Kreutz,  Dec13 2009
0069,  Apr24 2014 01:17PM   ,Email,    T.Prestgard,  H1A,    Kreutz,  Dec21 2009
0070,  Apr24 2014 01:17PM   ,Email,    T.Prestgard,  H1A,    Kreutz,  Dec23 2009
0071,  Feb26 2016            ,2406,    T.Prestgard,  H1A,    Kreutz,  Feb14 2016
0072,  Feb23 2016            ,2400,    T.Prestgard,  H1A,    Kreutz,  Feb20 2016
STXC,  Mar06 2016 03:15PM   ,Email,    T.Prestgard,  H1A,    Kreutz,  Mar04 2016  
0073, Mar12 2016 02:00PM    ,2411,    Z.Xu,       H1A/C3 C2, Kreutz,  Mar11-13 2016
0074,  P/2016 J3 (STEREO),,          S.Ferguson, H1/Cor2A, NonGrp,  May11-13 2016
0075,Jan13 2017 08:17PM, 2459,T.Prestgard, H1A,Kreutz,Jan11-12 2017
0076,Jan15 2017 09:28PM, 2460,T.Prestgard, H1A,Kreutz,Jan13 2017
0077,Jan19 2017 03:47PM, 2462,K. El Kanbi, H1A,Kreutz,Jan16-17 2017
0078,Jan25 2017 02:36AM, 2467,Z.Xu,H1A,Kreutz,Jan22-23 2017
0079,Jan26 2017 03:19PM, 2469, El Kanbi/Prestgard, H1A,Kreutz,Jan24 2017
0080,Feb01 2017 08:34AM, 2475,P.Sun, H1A,Kreutz,Jan28-29 2017
0081,Feb07 2017 05:18PM, 2484,W.Boonplod,H1A,Kreutz,Feb02 2017
0082,Feb08 2017 06:12PM, 2485,Z.Xu,H1A,Kreutz,Feb03 2017
0083,Feb09 2017 05:29AM, 2487,Z.Xu,H1A,Kreutz,Feb04 2017
0084,Feb21 2017 08:55PM, 2494,W.Boonplod,H1A,Kreutz,Feb16 2017
0085,Mar02 2017 06:24PM, 2495,T.Prestgard, H1A,Kreutz,Feb19 2017
0086,Mar24 2017 12:42:01,,K.Battams, H1A,Kreutz,Feb19 2017
0087,Mar06 2017 08:52PM, 2500, T.Prestgard,HI-1, Kreutz,Mar02 2017
0088,Sep06 2017 05:48AM, 2508, T.Prestgard,HI-1, NonGrp,Aug21-22 2017
0089,Dec28 2017 05:53AM, 2524, T.Prestgard,HI-1, Kreutz,Dec25 2017
0090,Dec29 2017 02:01PM, 2527, T.Prestgard,HI-1, Kreutz,Dec26-27 2017
0091,Jan09 2018 11:37, 2533, K.Battams,HI-1, Kreutz,Jan06-07 2018
0092,Jan12 2018 10:17, 2534, Z.Xu, HI-1, Kreutz,Jan09-10 2018
0093,Jan15 2018 18:54, 2538, T.Prestgard,HI-1, Kreutz,Jan13 2018
0094,Jan16 2018 16:35, 2540, Z.Xu, HI-1, Kreutz,Jan14 2018
0095,Jan17 2018 07:04, 2542, T.Prestgard,HI-1, Kreutz,Jan14-15 2018
0096,Jan18 2018 19:37, 2545, T.Prestgard,HI-1, Kreutz,Jan16 2018
0097,Jan20 2018 04:08, 2548, Z.Xu, HI-1, Kreutz,Jan17 2018
0098,Jan21 2018 18:31, 2549, Z.Xu, HI-1, Kreutz,Jan19 2018
0099,Jan23 2018 19:20, 2551, Z.Xu, HI-1, Kreutz,Jan21 2018
0100,Jan25 2018 18:30, 2554, M.Uchina, HI-1, Kreutz,Jan23 2018
0101,Jan29 2018 16:30, 2566, Z.Xu, HI-1, Kreutz,Jan26 2018
0102,Feb02 2018 17:46, 2570, Z.Xu, HI-1, Kreutz,Jan30-31 2018
0103,Feb06 2018 02:45, 2571, Z.Xu, HI-1, Kreutz,Feb03-04 2018
0104,Feb11 2018 21:16, 2574, M.Uchina, HI-1, Kreutz,Feb09 2018
0105,Nov24 2018 21:59,2644, T.Prestgard, HI-1, Kreutz,Nov22 2018
0106,Feb19 2019 11:18,2674, K.Battams, HI-1, Kreutz,Dec23 2018
0107,Jan01 2019 12:45,2655, T.Prestgard, HI-1, Kreutz,Dec28 2018
0108,Jan01 2019 12:25,2652, Prestgard/Uchina,HI-1, Kreutz,Dec29 2018
0109,Jan02 2019 23:36,2657, T.Prestgard, HI-1, Kreutz,Dec31 2018
0110,Jan06 2019 17:58,2658, T.Prestgard, HI-1, Kreutz,Jan01 2019
0111,Jan04 2019 00:22,2659, M.Uchina,HI-1, Kreutz,Jan01 2019
0112,Jan03 2019 17:58,2658, T.Prestgard, HI-1, Kreutz,Jan01 2019
0113,Jan04 2019 18:09,2661, T.Prestgard, HI-1, Kreutz,Jan02 2019
0114,Jan09 2019 17:56,2663, T.Prestgard, HI-1, Kreutz,Jan07 2019
0115,Jan09 2019 17:56,2663, T.Prestgard, HI-1, Kreutz,Jan07 2019
0116,Jan19 2019 11:28,2665, T.Prestgard, HI-1, Kreutz,Jan15 2019
0117,Feb02 2019 09:29,2666, M.Uchina,HI-1, Kreutz,Jan19-20 2019
0118,Feb03 2019 03:53,2668, T.Prestgard, HI-1, Kreutz,Jan19 2019
sxc1,Nov30 2019 19:44,2676, W.Boonplod,HI-1, Kreutz,Jan28 2019
0119,Dec02 2019 21:47,2678, A.Watson,HI-1, Kreutz,Nov28 2019
